DSBType	Size	Sum_H3K36me3	Mean_H3K36me3	Sum_H3K27me3	Mean_H3K27me3	Sum_H3K4me3	Mean_H3K4me3	Sum_CTCF	Mean_CTCF	Sum_DNaseIHSS1	Mean_DNaseIHSS1	Sum_DNaseIHSS2	Mean_DNaseIHSS2	DistanceToOrigin	DistanceToCTCF	DistanceToDNaseIHSS1	DistanceToDNaseIHSS2	DistanceToH3K4me3	DistanceToH3K27me3	DistanceToH3K36me3
1	766	2.43941	0.00318461	253.088	0.330402	17.7587	0.0231837	0	0	7.66774	0.0100101	9.35454	0.0122122	2919	5478	13010	12990	243192	116290	289716
1	576	200.442	0.34799	237.811	0.412866	0	0	109.1	0.18941	5.93138	0.0102975	32.1413	0.0558008	78905	1407	310043	1165	310132	230824	324821
1	955	945.209	0.989748	10.8985	0.011412	71.9269	0.0753161	505.6	0.529424	22.4925	0.0235524	50.1787	0.0525432	3923	934	29215	29235	76285	789268	21987
1	744	67.5918	0.0908492	504.022	0.677449	69.9634	0.0940368	184.8	0.248387	7.3978	0.00994328	0	0	12	1909	27784	6972	142659	5461	95848
1	515	159.002	0.308742	309.576	0.601119	0	0	159.3	0.536364	11.4031	0.022142	3.50196	0.00679991	6343	0	26949	2860	115958	12060	203848
1	429	6.69718	0.0156111	209.573	0.488516	0	0	168.7	0.39324	4.3774	0.0102037	11.6092	0.0270611	7829	2027	12169	12204	68163	68692	1134195
1	480	0	0	0	0	66.5458	0.138637	215.8	0.449583	6.74119	0.0140442	21.2996	0.0443741	8111	2814	2793	57817	79095	571528	2721073
1	511	0	0	157.545	0.308308	0	0	333.8	0.653229	3.59676	0.00703867	5.6607	0.0110777	128335	12423	34943	12643	34482	148202	39534
1	744	262.046	0.352212	91.1508	0.122515	40.7398	0.0547577	79	0.106183	10.9435	0.014709	7.86741	0.0105745	134509	16786	41117	16830	40656	141795	45708
1	680	0	0	0	0	0	0	199.9	0.293971	7.90121	0.0116194	30.0305	0.0441625	264	2535	1485911	48414	1687844	1750329	1692055
1	1000	357.17	0.35717	368.242	0.368242	125.301	0.125301	154.9	0.1549	10.5058	0.0105058	12.8085	0.0128085	0	6378	1275080	62860	1372494	1920311	1376705
1	1348	422.953	0.313763	934.358	0.693144	0	0	67.5	0.0500742	5.74169	0.00425941	76.1796	0.056513	0	6388	32290	2570	44858	117264	57980
1	709	0	0	0	0	0	0	0	0	1.16731	0.00164641	0	0	11003	102322	33201	14422	109605	360113	247700
1	817	0	0	0	0	0	0	0	0	1.29863	0.00158951	7.67552	0.00939476	257595	144514	199253	161073	469591	572796	286313
1	816	278.759	0.341617	332.451	0.407416	64.6697	0.0792521	93.4	0.114461	4.76407	0.00583832	7.67552	0.00940627	1907	7780	427836	14587	337791	308670	730797
1	755	0	0	0	0	0	0	0	0	0	0	10.9376	0.0144869	132929	218846	199399	198142	197948	621885	420595
1	487	77.5734	0.159288	9.40168	0.0193053	0	0	90.4	0.185626	3.67702	0.00755034	1.87091	0.0038417	0	18557	25713	23102	25156	156440	1520
1	3845	317.215	0.0825006	1188.98	0.309229	2773.46	0.721316	609	0.500411	64.2019	0.0166975	33.9162	0.00882086	6079	17006	205919	43374	28652	603947	164725
1	703	0	0	0	0	0	0	247	0.857639	2.94015	0.00418229	0	0	53015	79348	560223	88877	321456	958251	519029
1	347	0	0	0	0	0	0	441.4	1.27205	7.49265	0.0215927	0	0	37887	31816	955579	21204	716812	1353607	914385
1	4150	211.476	0.050958	118.892	0.0286488	0	0	871.4	0.676028	33.706	0.00812192	14.3916	0.00346786	174244	128377	1148857	128518	910090	1546885	1107663
1	650	0	0	0	0	0	0	0	0	0	0	0	0	172108	134013	1154493	134154	915726	1552521	1113299
1	560	211.476	0.377635	0	0	221.902	0.396254	729.1	1.30196	4.29714	0.00767347	0.527692	0.000942307	8502	4411	955820	20552	1402790	2039585	1600363
1	550	143.491	0.260892	112.194	0.203989	4.3428	0.007896	160.5	0.291818	3.09336	0.00562429	0	0	4544	5574	413232	44087	913397	912513	1059332
1	533	93.9111	0.176193	0	0	87.5807	0.164316	0	0	7.55101	0.014167	27.9197	0.0523822	12228	6012	800863	234439	627030	1636729	2062670
1	447	0	0	4.94814	0.0110697	35.4445	0.0792941	0	0	3.16632	0.00708348	8.87482	0.0198542	1412	6156	260799	3433	434860	161202	587143
1	786	66.2855	0.0843326	93.1119	0.118463	0	0	365	0.477124	5.25288	0.00668305	3.5979	0.00457748	6125	12898	24150	24150	62140	41328	33420
1	1024	222.617	0.2174	0	0	171.407	0.167389	225.5	0.220215	10.3088	0.0100672	8.10727	0.00791725	0	1017	1081	11319	474973	795191	540794
1	329	31.0052	0.0942407	0	0	0	0	86.3	0.26231	4.73489	0.0143918	0	0	22769	4573	21672	13691	24660	94918	380
1	726	105.738	0.145644	237.812	0.327565	110.951	0.152825	108.7	0.149725	5.5447	0.00763733	0	0	1980	1313	44982	2743	60765	96737	151553
1	393	38.6174	0.0982631	0	0	221.876	0.56457	755.9	1.92341	10.1264	0.0257669	19.2848	0.0490706	0	17185	11919	4846	335260	835879	346494
1	2017	471.026	0.233528	163.674	0.0811471	105.187	0.0521501	3182.8	1.64231	97.4628	0.0483207	48.9315	0.0242595	0	20692	15426	0	330129	830748	341363
1	559	0	0	95.1232	0.170167	8.41698	0.0150572	265.9	0.475671	5.65414	0.0101147	15.8308	0.0283198	0	1785	19481	19541	19600	152753	27019
1	486	211.476	0.435135	118.892	0.244635	0	0	98.8	0.203292	5.42798	0.0111687	10.1701	0.0209261	13170	5351	6141	5461	4485	11917	42031
